n,time
1275,1403
1276,751
1277,691
1278,1473
1279,1573
1280,1002
1281,1333
1282,1332
1283,2084
1284,1543
1285,812
1286,1443
1287,5320
1288,1423
1289,812
1290,1363
1291,1523
1292,1373
1293,1252
1294,1342
1295,1452
1296,3006
1297,2244
1298,2184
1299,2134
1300,2064
1301,2284
1302,2495
1303,2845
1304,2264
1305,2515
1306,1372
1307,2344
1308,2225
1309,2114
1310,1323
1311,2404
1312,1333
1313,9388
1314,1012
1315,912
1316,1793
1317,992
1318,2053
1319,962
1320,922
1321,1493
1322,782
1323,2074
1324,1453
1325,1433
1326,1963
1327,2435
1328,2735
1329,2154
1330,2114
1331,2474
1332,2033
1333,2224
1334,1352
1335,1402
1336,2535
1337,2244
1338,992
1339,2304
1340,2255
1341,2194
1342,2405
1343,2395
1344,2124
1345,1483
1346,1132
1347,1423
1348,1413
1349,2315
1350,2274
1351,2294
1352,2675
1353,1644
1354,992
1355,1673
1356,2325
1357,1252
1358,1413
1359,2434
1360,1784
1361,2545
1362,2445
1363,1683
1364,1463
1365,1513
1366,1593
1367,1593
1368,1373
1369,1373
1370,892
1371,1874
1372,1142
1373,1463
1374,1242
1375,1332
1376,902
1377,2054
1378,1362
1379,1403
1380,1382
1381,1473
1382,1362
1383,801
1384,2034
1385,1473
1386,842
1387,1502
1388,1212
1389,1743
1390,1482
1391,721
1392,3707
1393,1473
1394,1633
1395,1443
1396,1994
1397,2545
1398,1253
1399,2425
1400,1242
1401,1463
1402,2735
1403,2144
1404,2144
1405,2184
1406,1563
1407,2295
1408,2104
1409,2265
1410,1513
1411,3266
1412,2184
1413,2756
1414,2245
1415,2164
1416,1192
1417,2474
1418,2815
1419,1092
1420,1653
1421,1072
1422,1483
1423,1472
1424,1342
1425,1403
1426,1473
1427,1423
1428,1463
1429,1753
1430,1333
1431,802
1432,1763
1433,751
1434,1653
1435,2885
1436,1453
1437,1794
1438,2685
1439,1633
1440,2425
1441,2384
1442,2094
1443,2134
1444,2174
1445,1522
1446,2395
1447,1703
1448,2615
1449,2174
1450,2094
1451,2835
1452,2545
1453,782
1454,1673
1455,852
1456,1713
1457,801
1458,942
1459,1603
1460,1483
1461,882
1462,822
1463,942
1464,1653
1465,1783
1466,2004
1467,1493
1468,1312
1469,1633
1470,1492
1471,1553
1472,1513
1473,1814
1474,1533
1475,1693
1476,972
1477,1923
1478,1502
1479,1513
1480,1943
1481,862
1482,812
1483,1733
1484,1623
1485,2154
1486,1112
1487,912
1488,2425
1489,1613
1490,1774
1491,831
1492,1473
1493,1302
1494,1403
1495,1062
1496,1503
1497,1543
1498,1142
1499,1673
1500,1423
1501,712
1502,952
1503,1604
1504,1293
1505,1082
1506,1553
1507,1683
1508,1503
1509,2094
1510,1423
1511,792
1512,3306
1513,2605
1514,1643
1515,1082
1516,2124
1517,1472
1518,1773
1519,1393
1520,1433
1521,1223
1522,1493
1523,2084
