n,time
1814,5976
1815,5960
1816,5917
1817,6045
1818,6036
1819,6522
1820,6293
1821,8779
1822,6203
1823,5849
1824,6360
1825,6176
1826,6030
1827,6300
1828,6586
1829,6152
1830,6063
1831,6047
1832,5932
1833,6275
1834,8434
1835,6305
1836,6163
1837,6498
1838,6019
1839,5934
1840,5870
1841,6151
1842,6236
1843,6041
1844,6064
1845,6361
1846,6525
1847,5835
1848,6507
1849,6311
1850,6199
1851,6200
1852,6117
1853,6110
1854,6540
1855,6306
1856,6313
1857,6233
1858,6267
1859,6457
1860,5961
1861,6258
1862,6462
1863,6158
1864,6119
1865,6018
1866,5966
1867,5934
1868,6166
1869,5865
1870,6011
1871,6179
1872,6292
1873,6421
1874,6033
1875,5836
1876,6393
1877,5918
1878,6065
1879,6532
1880,6310
1881,6230
1882,6348
1883,6780
1884,6420
1885,5992
1886,6075
1887,6101
1888,6432
1889,6118
1890,6190
1891,6136
1892,6007
1893,6533
1894,5976
1895,6476
1896,6405
1897,6763
1898,6271
1899,6303
1900,6615
1901,6589
1902,6968
1903,6473
1904,6770
1905,6371
1906,6278
1907,6630
1908,6494
1909,6185
1910,6462
1911,6794
1912,6850
1913,6587
1914,7179
1915,6526
1916,6494
1917,6695
1918,6114
1919,6399
1920,6433
1921,6010
1922,6130
1923,6165
1924,9613
1925,6777
1926,7194
1927,6661
1928,6879
1929,6951
1930,7290
1931,6682
1932,6604
1933,7106
1934,7428
1935,7068
1936,6277
1937,7046
1938,6703
1939,7146
1940,6466
1941,6524
1942,7121
1943,6472
1944,7334
1945,6755
1946,6479
1947,6360
1948,6471
1949,6642
1950,6637
1951,6729
1952,6519
1953,6494
1954,8511
1955,8337
1956,7451
1957,7720
1958,6789
1959,7122
1960,7073
1961,7836
1962,7483
1963,6999
1964,7083
1965,6460
1966,6132
1967,6323
1968,6117
1969,6323
1970,6224
1971,6584
1972,7138
1973,6581
1974,6987
1975,6676
1976,6884
1977,7033
1978,6556
1979,6611
1980,7020
1981,6515
1982,6567
1983,7002
1984,6504
1985,6660
1986,6742
1987,6197
1988,6476
1989,6511
1990,6446
1991,6432
1992,6602
1993,7265
1994,6395
1995,6760
1996,7008
1997,7645
1998,7093
1999,6721
2000,6945
2001,6792
2002,6636
2003,6843
2004,8115
2005,7598
2006,7749
2007,7263
2008,6715
2009,7163
2010,7584
2011,6768
2012,7274
2013,6667
2014,6837
2015,7083
2016,6799
2017,6787
2018,6844
2019,6502
2020,6641
2021,6372
2022,6557
2023,7095
2024,7433
2025,6599
2026,6946
2027,7348
2028,6569
2029,7121
2030,7741
2031,6947
2032,7294
2033,6815
2034,6922
2035,6503
2036,6722
2037,7559
2038,6728
2039,6681
2040,6650
2041,6418
2042,6569
2043,6754
2044,6549
2045,6784
2046,7015
2047,6790
2048,7164
2049,7033
2050,7574
2051,7322
2052,7324
2053,7330
2054,7327
2055,7853
2056,8191
2057,8073
2058,7234
2059,7178
2060,7027
2061,7192
2062,7532
2063,7124
2064,7379
2065,6910
2066,7035
2067,7424
2068,7051
2069,7313
2070,6933
2071,7459
